time,Fx1,Fy2
0,0,-0.18445122
0.001,0.229796748,-0.236814024
0.002,0.606808943,-0.321176321
0.003,0.734806911,-0.539354675
0.004,0.763897358,-0.661534553
0.005,0.778442581,-0.705752033
0.006,0.804623984,-0.742987805
0.007,0.752261179,-0.818622967
0.008,0.865713923,-0.853531504
0.009,1.112982724,-0.886500678
0.01,1.208981199,-0.798259654
0.011,1.337560976,-0.63535315
0.012,1.35734248,-0.510264228
0.013,1.310797764,-0.30546748
0.014,1.328252033,-0.155360772
0.015,1.392251016,-0.097179878
0.016,1.409705285,-0.07972561
0.017,1.432977642,-0.062271341
0.018,1.444613821,-0.068089431
0.019,1.508612805,-0.07972561
0.02,1.566793699,-0.091361789
0.021,1.607520325,-0.097179878
0.022,1.66570122,-0.108816057
0.023,1.700609756,-0.091361789
0.024,1.735518293,-0.091361789
0.025,1.76460874,-0.091361789
0.026,1.787881098,-0.068089431
0.027,1.811153455,-0.068089431
0.028,1.834425813,-0.068089431
0.029,1.840243902,-0.044817073
0.03,1.86351626,-0.044817073
0.031,1.851880081,-0.044817073
0.032,1.840243902,-0.044817073
0.033,1.822789634,-0.021544715
0.034,1.816971545,-0.004090447
0.035,1.799517276,0.013363821
0.036,1.782063008,0.036636179
0.037,1.770426829,0.054090447
0.038,1.752972561,0.071544715
0.039,1.741336382,0.088998984
0.04,1.723882114,0.094817073
0.041,1.712245935,0.112271341
0.042,1.694791667,0.118089431
0.043,1.677337398,0.135543699
0.044,1.65988313,0.141361789
0.045,1.630792683,0.147179878
0.046,1.613338415,0.164634146
0.047,1.584247967,0.176270325
0.048,1.566793699,0.187906504
0.049,1.531885163,0.205360772
0.05,1.508612805,0.22863313
0.051,1.491158537,0.246087398
0.052,1.467886179,0.269359756
0.053,1.444613821,0.280995935
0.054,1.409705285,0.304268293
0.055,1.392251016,0.310086382
0.056,1.35734248,0.32754065
0.057,1.328252033,0.32754065
0.058,1.299161585,0.350813008
0.059,1.258434959,0.350813008
0.06,1.217708333,0.350813008
0.061,1.176981707,0.368267276
0.062,1.130436992,0.374085366
0.063,1.083892276,0.374085366
0.064,1.037347561,0.397357724
0.065,1.002439024,0.403175813
0.066,0.973348577,0.420630081
0.067,0.95007622,0.420630081
0.068,0.920985772,0.420630081
0.069,0.891895325,0.420630081
0.07,0.84535061,0.420630081
0.071,0.804623984,0.43226626
0.072,0.763897358,0.43226626
0.073,0.717352642,0.420630081
0.074,0.688262195,0.414811992
0.075,0.630081301,0.397357724
0.076,0.600990854,0.379903455
0.077,0.571900407,0.350813008
0.078,0.525355691,0.32754065
0.079,0.498204607,0.286814024
0.08,0.433333333,0.257723577
0.081,0.4,0.23445122
0.082,0.366666667,0.199542683
0.083,0.333333333,0.170452236
0.084,0.3,0.164634146
0.085,0.280995935,0.152997967
0.086,0.280995935,0.141361789
0.087,0.266666667,0.106453252
0.088,0.257723577,0.077362805
0.089,0.266666667,0.048272358
0.09,0.233333333,0.048272358
0.091,0.1,0.001727642
0.092,0,0
0.093,0,0
0.094,0,0
0.095,0,0
0.096,0,0
0.097,0,0
0.098,0,0
0.099,0,0
0.1,0,0
